order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,review_score,is_returned,product_category_encoded,return_prob
c7a07ddd52bbe18b61da49a8d89853d3,1107a610c5e1caae0ff024795cdefb73,delivered,2018-07-13 10:33:48,2018-07-13 10:45:11,2018-07-26 11:49:00,2018-07-31 22:48:52,2018-08-15 00:00:00,1,97c948ebc8c04b26b7bbb095d4228f2a,17f51e7198701186712e53a39c564617,2018-07-31 10:45:11,1050.0,322.1,beleza_saude,60.0,554.0,1.0,30000.0,55.0,75.0,61.0,0820b88e46f48599042bd627fe954b66,36160,guarani,MG,5.0,0,11,0.7993424537838
d58096e42e1aaf58b8521e8f8b4c20dc,39684b5ab3bb61a36e8b8df9ddbc8fdc,delivered,2018-08-15 00:00:48,2018-08-16 03:30:19,2018-08-16 08:12:00,2018-08-21 21:59:41,2018-09-10 00:00:00,1,2a34e0af5f72ca6cdeb148377a247c86,955fee9216a65b617aa5c0531780ce60,2018-08-20 03:30:19,600.0,256.13,moveis_escritorio,54.0,744.0,6.0,29700.0,65.0,32.0,82.0,a1d41a7e48b180342a85b93115f4263f,46430,guanambi,BA,5.0,0,55,0.7577320894391557
f0a2783007ba2c431132d38c7642d5c9,24348bd43207b8fa492c929ab6cb1fb9,shipped,2018-04-17 11:10:00,2018-04-17 12:15:22,2018-04-18 14:08:41,,2018-05-15 00:00:00,1,cda8b19a05af621d957a97a979b6fa9a,c510bc1718f0f2961eaa42a23330681a,2018-04-23 12:15:22,2110.0,250.42,bebes,50.0,1220.0,6.0,16333.0,56.0,48.0,38.0,c5a0eef09ffd9448532ef07854769930,95084,caxias do sul,RS,1.0,1,9,0.7321483782139052
0e4672661531addf3fa0f55961e55242,9753c2c195f620cc509d22e390197c02,delivered,2017-06-25 08:11:23,2017-06-27 04:03:18,2017-07-07 19:34:05,2017-07-28 19:25:43,2017-08-08 00:00:00,1,dc861f18267cce21f3b70f9f7990b8ce,17f51e7198701186712e53a39c564617,2017-07-12 04:03:18,990.0,314.02,beleza_saude,53.0,450.0,1.0,30000.0,55.0,75.0,61.0,be2f2a80a6cfb6001c403b7a01c87db6,58840,pombal,PB,5.0,0,11,0.7933443868902884
36a55da00696783d804dcef6c490cbf9,d6a517f605004a40b8a4c666e39456ca,delivered,2018-03-22 14:08:52,2018-03-22 14:15:42,2018-03-27 20:56:50,2018-04-19 17:35:53,2018-04-18 00:00:00,1,7d1d3de69616eacb023e39204065a068,1ca4bdb0cd7fc48e949bac066188ed26,2018-03-28 14:15:42,380.0,227.57,moveis_escritorio,60.0,793.0,2.0,20850.0,100.0,10.0,55.0,9a58733da0c7c3ec5faf01ec89d9c115,65302,santa ines,MA,5.0,0,55,0.7329771706116419
6ddfbf514959b49b6410c01ad93054bb,48c4bc0a9a1ef619c41c102912dbf1a0,delivered,2017-11-23 15:10:22,2017-11-25 15:10:57,2017-11-28 23:33:02,2017-12-20 22:58:14,2017-12-22 00:00:00,1,363a9f5b97bf194da23858be722a7aa5,9596c870880d900012f2e8e6e30d06d7,2017-11-30 15:10:57,1045.0,314.4,construcao_ferramentas_construcao,44.0,1455.0,6.0,30000.0,100.0,50.0,50.0,aa4e2575d36a7b89546ca2e4087e9396,57045,maceio,AL,4.0,0,21,0.7956552266946122
9f49bd16053df810384e793386312674,98ef9188ce9357bd77f60150a935c7fb,delivered,2018-07-29 11:41:33,2018-07-31 04:31:32,2018-07-31 13:40:00,2018-08-06 20:07:34,2018-08-22 00:00:00,1,256a9c364b75753b97bee410c9491ad8,5c030029b5916fed0986310385ec9009,2018-08-02 03:44:28,1149.0,339.59,utilidades_domesticas,59.0,649.0,1.0,25250.0,68.0,66.0,66.0,c6f70f6262d971489361b0d4fb0936ed,12460,campos do jordao,SP,4.0,0,73,0.8248268429742818
9270e213f22a5c0c65322feea6979af1,0d254ca5e31c93f075a64202bb785bd9,delivered,2018-08-13 13:16:34,2018-08-13 13:25:14,2018-08-16 08:23:00,2018-08-23 20:12:00,2018-09-03 00:00:00,1,84dacba9d49f304ee015bc094083df20,32b8764b4ef628b53608fc34011fcc13,2018-08-15 13:25:14,395.0,221.5,utilidades_domesticas,54.0,341.0,2.0,16300.0,80.0,23.0,33.0,ca7e72cf5f23b5400bf974e750f80964,42701,lauro de freitas,BA,4.0,0,73,0.7321018864845016
d17f9e855544f741648a953891e93288,afc9910dda523bd3e6b83bfa889bbbc4,delivered,2018-02-02 14:25:20,2018-02-02 15:31:21,2018-02-05 20:14:41,2018-02-20 22:50:18,2018-03-07 00:00:00,1,3bdc89e963c6651b8af38ede485cc82b,fffd5413c0700ac820c7069d66d98c89,2018-02-08 14:56:11,262.5,206.45,utilidades_domesticas,50.0,387.0,1.0,25850.0,38.0,79.0,49.0,9e0dff968418c421ca5a9e1f70a715da,64606,picos,PI,5.0,0,73,0.7184968676793083
73b1defe09cb47bd521306b506af7d3a,7d3fa362783fe9c69627a0144ae78ab1,delivered,2018-07-03 09:44:18,2018-07-05 16:25:48,2018-07-06 09:09:00,2018-07-12 16:51:29,2018-07-25 00:00:00,1,9fef57f37ae72292952e73ff9a7a3fee,f8db351d8c4c4c22c6835c19a46f01b0,2018-07-06 08:32:13,449.9,214.86,moveis_cozinha_area_de_servico_jantar_e_jardim,59.0,634.0,5.0,27150.0,100.0,25.0,65.0,edfe746c5a3e8c21a335c77d047a013f,71680,brasilia,DF,3.0,0,53,0.7199267874351916
